Run,Plate,mapped.pos,Gene,Count,Size.mean,Brightness.mean,Avg. Red.mean,Redness.mean,Norm.Brightness.mean,Norm.Avg. Red.mean,Norm.Redness.mean,Size.std,Brightness.std,Avg. Red.std,Redness.std,Norm.Brightness.std,Norm.Avg. Red.std,Norm.Redness.std
3,10,N15,VPS53,4,52.75,93.21653633105245,101.0,5.9750000000000005,1.892382994811499,2.0552442265395894,0.12618921065493646,15.649813630413197,7.693005017327087,7.615773105863909,0.6184658438426491,0.5664281338141346,0.6359459670788774,0.06044878992722091
3,11,A10,GAL10,3,57.0,102.84365730719908,110.0,5.8,1.8443937450254595,1.9689078282828285,0.09999323593073593,11.269427669584644,8.465260633283027,11.357816691600547,2.8792360097775935,0.3222106226743673,0.3282941719946674,0.03729652773937197
3,11,K12,FYV6,1,32.0,82.7916666666667,92.0,7.9,2.5872395833333344,2.875,0.246875,,,,,,,
3,11,L12,BCH2,4,89.25,106.5667113114265,116.0,6.9,1.2063320468525658,1.313144418872267,0.07820716660273622,11.84271928232701,3.7715824191571503,3.915780041490244,0.4898979485566355,0.12552674257318902,0.13625228731176,0.010676371669580327
3,11,L19,MSK1,4,64.5,95.84715406020743,104.75,6.525,1.4951144064704007,1.6331634553222587,0.10067448773083733,6.137317546507322,0.8152345953522073,1.707825127659933,1.0688779163215971,0.12806000450622698,0.12875800687131914,0.006946189193891351
3,11,M22,YDJ1,4,88.5,100.19007780963177,110.25,7.925000000000001,1.2113323206442548,1.334284604661278,0.09580056075959575,30.072135496724094,3.41778994160542,3.304037933599835,0.33040379335998327,0.31426404719445683,0.3514525021321382,0.025248672952912082
3,12,A17,BUD23,3,95.66666666666667,102.66918427679684,110.0,6.666666666666667,1.4675084941950152,1.5721653131816702,0.09397936718764215,75.63949585589089,11.131966276870704,12.288205727444508,0.9712534856222312,0.7716612654183657,0.8286162197334747,0.048228131048775325
3,12,B11,AGP2,3,37.0,96.99128406440246,100.66666666666667,3.2999999999999994,2.664265601480036,2.7677077999658644,0.09102235876429425,7.211102550927978,6.17020078284608,5.6862407030773285,0.09999999999999981,0.3310521620161641,0.36334177772177917,0.014120829051690893
3,12,C13,TUP1,2,38.0,89.35585585585585,96.0,4.5,2.3561180723342883,2.5308385308385306,0.11808731808731807,1.4142135623730951,6.160110427093624,5.656854249492381,0.848528137423857,0.2497938041984509,0.24305264273633242,0.017934932911592254
3,12,H9,SLX5,4,84.0,106.44333312353652,113.25,5.025,1.4702805890010227,1.561839099476729,0.06545523568440575,31.3581462037113,4.035401507393815,4.645786621588782,0.9878427675158298,0.7447027109521872,0.7828536832011536,0.020872041844235904
3,12,I8,POP2,3,77.0,98.20154316280598,107.66666666666667,6.2,1.2820553447032845,1.4047096476163319,0.0805023800945849,7.211102550927978,1.27892520738826,2.516611478423585,0.6557438524302005,0.10755802421026722,0.10348174546387066,0.0030128898525389205
3,12,K12,RPL43A,2,74.0,102.01085858585876,110.0,4.95,1.4211692684419979,1.5337121212121212,0.06871212121212121,19.79898987322333,4.548696500996643,4.242640687119285,0.3535533905932738,0.3187705331489552,0.35301770363782936,0.013606448668286598
3,12,K4,YME1,1,62.0,99.38172043010749,103.0,2.8,1.6029309746791531,1.6612903225806452,0.04516129032258064,,,,,,,
3,12,P15,RPP1A,4,75.25,98.85622942726312,107.75,7.050000000000001,1.502626068511008,1.6451177206465726,0.10969073577341293,36.31689230463789,9.447572539919294,9.742518497116988,0.34156502553198637,0.5558443783607385,0.6319434221767828,0.047308571523300036
3,13,B10,RPL27A,1,44.0,94.9924242424242,101.0,4.9,2.1589187327823685,2.2954545454545454,0.11136363636363637,,,,,,,
3,13,B15,VPS34,4,65.75,99.71437901720907,106.5,5.95,2.2353555995191585,2.3896727486350127,0.13107039187227867,62.27559714687608,12.142812809523472,12.396235987858034,1.2714820748507103,1.0405542426625736,1.1059553477395212,0.05962841481354063
3,13,B16,BUR2,2,83.0,103.1999081726354,108.5,4.9,1.511542961124729,1.6015610651974288,0.08306703397612487,53.74011537017761,12.476376453431518,10.606601717798213,1.697056274847714,0.8283628513782084,0.9091743939553754,0.07422997908654372
3,13,B19,CHC1,2,74.5,100.99176867876722,112.0,9.05,1.5683354860988465,1.7310046433094133,0.13297804981004643,40.30508652763321,4.620420966866487,7.0710678118654755,2.1920310216782966,0.7864627718752377,0.8415734780732255,0.04251893667371199
3,13,B20,MDJ1,3,91.0,112.618835031002,119.0,5.533333333333334,1.2384417871842668,1.3089343646847154,0.06115626815135931,2.6457513110645907,1.8352394885454708,3.0,1.5502687938977975,0.04868098030909539,0.06770446546878538,0.019033749969121015
3,13,B23,BDF1,3,64.66666666666667,101.4150636802813,108.66666666666667,6.366666666666667,2.0160644133955734,2.166534914361001,0.12646903820816865,44.071910933533765,5.235194138304287,5.773502691896256,2.274496281230931,1.0061511719264649,1.0836907701675471,0.0724649454928905
3,13,B4,IES6,4,64.0,101.30957740672017,105.75,3.1,1.6370770506677204,1.7076623376623377,0.0494186765615337,14.094916341243982,3.7927649386693036,4.573474244670749,0.6377042156569662,0.335654720371711,0.34380045360274497,0.01014277416870931
3,13,D12,BUD25,4,85.0,110.70212972972574,115.5,4.175,1.3600584908863331,1.4201306047540632,0.05203004600706447,20.016659728003237,1.8696760229156062,1.2909944487358056,0.35939764421413034,0.33101743885292356,0.3517827699257278,0.0168674572294146
3,13,D21,SMI1,2,82.0,106.240906602976,114.5,7.85,1.3014393217228486,1.402672040603075,0.09620092551127035,7.0710678118654755,1.8632758029206513,2.1213203435596424,0.21213203435596445,0.13494928658355024,0.14682572512770384,0.0108826256367119
3,13,D5,DOC1,3,98.0,107.466326741231,112.33333333333333,3.6666666666666665,1.1033125104458128,1.152569758891598,0.0369722125469252,10.535653752852738,2.903743999515571,3.78593889720018,1.0016652800877812,0.09413978433431908,0.08828697196065124,0.006264228678915842
3,13,F2,ROX3,3,85.33333333333333,99.9512711240654,107.0,5.133333333333333,1.1877691711640972,1.2700693340399223,0.058867028793499386,14.742229591663985,4.478090517310125,6.0,1.9502136635080096,0.14317929676776675,0.1411566971481239,0.013843972975467175
3,13,J23,COX16,4,73.75,101.03886540757118,110.0,6.700000000000001,1.4202214955160637,1.54612232158247,0.09333867070230326,19.137659209004635,3.8947214080873107,4.320493798938572,0.6480740698407862,0.259023195353955,0.28191941484335326,0.013101190940519402
